medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013006789,2013006785,CMT,1,N,2013-01-01 02:19:19,2013-01-01 02:26:44,1,445,1.70,-73.984673,40.732281,-73.975632,40.751865
2013000929,2013000926,CMT,1,N,2013-01-01 02:20:15,2013-01-01 02:36:29,1,973,5.30,-73.967377,40.760635,-73.944954,40.821037
2013003035,2013003032,CMT,1,N,2013-01-01 02:23:31,2013-01-01 02:36:59,1,807,2.20,-73.974358,40.746906,-74.000412,40.73539
2013006113,2013006109,VTS,1,,2013-01-01 02:25:00,2013-01-01 02:38:00,6,780,3.60,-73.981834,40.772861,-73.946327,40.800686
2013003697,2013003693,VTS,1,,2013-01-01 02:28:00,2013-01-01 02:33:00,1,300,.56,-73.950165,40.705261,-73.951492,40.713329
2013001787,2013001784,VTS,1,,2013-01-01 02:30:00,2013-01-01 02:36:00,5,360,.78,-73.980057,40.743248,-73.991592,40.748779
2013007632,2013007628,CMT,1,N,2013-01-01 02:30:49,2013-01-01 02:36:11,1,321,.80,-73.99234,40.683971,-73.989159,40.688583
2013003149,2013003146,CMT,1,N,2013-01-01 02:33:57,2013-01-01 02:53:25,3,1168,4.00,-74.000023,40.743504,-73.955299,40.775928
2013006096,2013006092,VTS,1,,2013-01-01 02:36:00,2013-01-01 02:50:00,1,840,4.90,-73.969818,40.757317,-73.900414,40.862473
2013005896,2013005892,VTS,1,,2013-01-01 02:37:00,2013-01-01 02:46:00,6,540,1.22,-74.00251,40.733543,-73.984665,40.724194
2013006996,2013006992,CMT,1,N,2013-01-01 02:40:14,2013-01-01 02:49:36,2,562,1.00,-73.984177,40.769905,-73.993736,40.756622
2013004710,2013004707,CMT,1,N,2013-01-01 02:41:09,2013-01-01 02:56:24,1,915,5.50,-73.953354,40.822243,-73.903053,40.873055
2013003624,2013003620,VTS,1,,2013-01-01 02:44:00,2013-01-01 03:05:00,2,1260,7.20,-73.977036,40.790138,-73.920715,40.775757
2013008396,2013008392,CMT,1,N,2013-01-01 02:45:55,2013-01-01 02:58:07,1,731,2.50,-73.978653,40.740906,-73.98391,40.761543
2013005320,2013005317,CMT,1,N,2013-01-01 02:48:45,2013-01-01 02:53:22,1,276,.80,-73.992203,40.741592,-73.996605,40.731892
2013007388,2013007384,VTS,5,,2013-01-01 02:49:00,2013-01-01 02:49:00,1,0,.00,0,0,0,0
2013003469,2013003465,CMT,1,N,2013-01-01 02:52:49,2013-01-01 03:11:52,1,1142,5.70,-73.973763,40.748051,-73.912521,40.713272
2013008505,2013008501,CMT,1,N,2013-01-01 02:55:04,2013-01-01 02:58:33,1,208,.40,-73.95842,40.710381,-73.966454,40.713005
2013005036,2013005033,CMT,1,N,2013-01-01 02:56:12,2013-01-01 02:59:54,2,222,.90,-73.845375,40.72213,-73.860313,40.720192
2013000165,2013000165,VTS,1,,2013-01-01 02:58:00,2013-01-01 03:02:00,4,240,1.12,-73.999588,40.733559,-73.950233,40.811489
2013003442,2013003438,CMT,1,N,2013-01-01 03:00:44,2013-01-01 03:09:33,1,529,2.00,-73.92086,40.756584,-73.894905,40.768368
2013001678,2013001675,CMT,1,N,2013-01-01 03:02:54,2013-01-01 03:16:36,3,822,2.30,-73.936951,40.759823,-73.916656,40.757935
2013004625,2013004622,CMT,1,N,2013-01-01 03:04:49,2013-01-01 03:12:50,2,480,2.00,-73.981583,40.732815,-73.969749,40.757233
2013002623,2013002620,VTS,1,,2013-01-01 03:08:00,2013-01-01 03:10:00,2,120,.47,-73.94767,40.764069,-73.94767,40.764069
2013000205,2013000205,CMT,1,N,2013-01-01 03:08:17,2013-01-01 03:16:01,1,464,1.90,-73.956139,40.781845,-73.966652,40.799026
2013005242,2013005239,VTS,1,,2013-01-01 03:11:00,2013-01-01 03:23:00,5,720,4.36,-73.981483,40.763908,-73.949707,40.785309
2013005736,2013005733,CMT,1,Y,2013-01-01 03:13:10,2013-01-01 03:38:02,1,1492,6.30,-74.007454,40.726955,-73.925896,40.757015
2013007465,2013007461,CMT,1,N,2013-01-01 03:16:36,2013-01-01 03:24:47,1,491,1.80,-73.986885,40.734108,-73.970245,40.749443
2013001416,2013001413,VTS,1,,2013-01-01 03:18:00,2013-01-01 03:30:00,2,720,2.37,-73.990456,40.746323,-73.984734,40.737057
2013003380,2013003376,VTS,1,,2013-01-01 03:21:00,2013-01-01 03:39:00,2,1080,3.65,-73.99189,40.743946,-73.964241,40.756516
2013002753,2013002750,CMT,1,N,2013-01-01 03:23:04,2013-01-01 03:28:14,4,309,1.00,-73.992233,40.768555,-73.976593,40.76561
2013009208,2013009205,VTS,1,,2013-01-01 03:24:00,2013-01-01 03:28:00,2,240,.73,-73.988617,40.73719,-73.988159,40.728645
2013010744,2013010902,VTS,1,,2013-01-01 03:28:00,2013-01-01 03:51:00,1,1380,13.27,-73.978706,40.766666,-73.862747,40.896706
2013010411,2013010424,VTS,1,,2013-01-01 03:30:00,2013-01-01 03:34:00,6,240,.70,-73.967621,40.762711,-73.961487,40.764221
